# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
charm,魅力,0.4831
charm,韻,0.2962
charm,魅,0.2577
charmed,心醉,0.2416
charming,迷人,0.3075
charming,媚,0.2764
charming,嫵媚,0.2720
charms,女色,0.2395
charms,英雄難過美人關,0.2305
charred,焦,0.2999
charred,燒焦,0.2409
charred,鑊氣,0.2000
chart,圖,0.6098
chart,圖表,0.4786
chart,譜,0.2882
chart-topping,暢銷,0.2822
charter,租,0.4025
charter,章程,0.2722
charter,憲章,0.2342
chartered,包機,0.2539
chartered,包車,0.2517
chartered,專機,0.2441
chartreuse,螢光綠,0.2167
charts,排行榜,0.3415
charts,爆表,0.2720
charts,上榜,0.2699
chase,追,0.4358
chase,追逐,0.3675
chase,逐,0.2796
chaser,跑馬燈,0.2288
chases,如蠅逐臭,0.2170
chases,如蟻附膻,0.2000
chasing,捕風捉影,0.2316
chasm,鴻溝,0.2674
chasm,塹,0.2393
chasm,九淵,0.2246
chassis,底盤,0.3612
chassis,車架,0.2441
chassis,床,0.2397
chaste,貞,0.2733
chaste,荊,0.2613
chaste,柏節松操,0.2000
chastise,怒懟,0.2000
chastity,節,0.4280
chastity,貞操,0.2449
chastity,貞潔,0.2387
chat,啦,0.7470
chat,拉,0.6339
chat,聊,0.5759
chatter,胡扯,0.2600
chatter,叨叨,0.2493
chatter,嚕,0.2472
chatterbox,話匣子,0.2308
chatterbox,侃星,0.2089
chattering,嚅,0.2286
chattering,嘁嘁喳喳,0.2216
chattering,嗹,0.2000
chatting,海闊天空,0.2492
chau,周華健,0.2481
chau,落馬洲,0.2251
chaucer,坎特伯雷故事集,0.2010
chaucer,喬叟,0.2000
chauffeur,司機,0.5478
chauvinist,大男子主義者,0.2233
chavez,查韋斯,0.2409
che,孨,0.2227
che,走,0.6983
che,車,0.6379
cheap,便宜,0.5645
cheap,實惠,0.3117
cheap,低廉,0.2744
cheaper,平替,0.2226
cheaper,門檻,0.5688
cheaper,降價,0.3697
cheaply,拋售,0.2890
cheaply,賤賣,0.2438
cheaply,打口,0.2000
cheaply-priced,廉價,0.4094
cheapskate,鐵公雞,0.2307
cheat,賺,0.5254
cheat,騙子,0.4429
cheat,騙,0.4264
cheated,受騙,0.2653
cheated,戴綠帽子,0.2292
cheater,風衣,0.2538
cheating,花言巧語,0.2401
cheating,狗男女,0.2316
cheating,童叟無欺,0.2281
chechen,車臣,0.2417
chechen,格羅茲尼,0.2005
chechnya,車臣,0.2417
check,對,0.7793
check,開,0.7089
check,考,0.5814
check-in,登機手續,0.2298
check-in,登機手續櫃檯,0.2120
check-up,健診,0.2229
checkbook,支票簿,0.2236
checked,方格,0.2448
checked,入聲,0.2330
checked,格子呢,0.2028
checker,測試器,0.2299
checker,打格子,0.2198
checkered,棋格狀,0.2084
checkers,國際跳棋,0.2245
checkers,棋具,0.2237
checkers,會審,0.2326
checking,活期,0.2449
checking,查水表,0.2000
checking,眼睛吃冰淇淋,0.2000
checklist,排查,0.2822
checkmate,將,0.7539
checkmate,將死,0.2330
checkmate,逼將,0.2195
checkout,銷售點,0.2399
checkout,收銀員,0.2464
checkout,收款臺,0.2246
checkpoint,檢查站,0.2344
checkpoint,卡子,0.2329
checkpoint,檢查哨,0.2182
checks,制衡,0.2570
checks,抬頭,0.3547
checks,什,0.2935
checkup,產檢,0.2329
checkup,體格檢查,0.2319
checkup,產前檢查,0.2313
cheddar,切達,0.2220
chee-hwa,董建華,0.2306
chee-ying,黎智英,0.2000
cheek,臉皮,0.2711
cheek,臉蛋,0.2680
cheek,臉頰,0.2679
cheekbone,顴骨,0.2422
cheekbone,馗,0.2356
cheekbone,顴,0.2332
cheeks,頰,0.2455
cheeks,淚流滿面,0.2610
cheeks,血色,0.2876
cheeky,沒大沒小,0.2295
cheeky,憊賴,0.2000
cheeky,皮臉,0.2000
cheep,吱聲,0.2388
cheer,喝彩,0.2589
cheer,叫好,0.2583
cheer,助陣,0.2520
cheered,殺君馬者道旁兒,0.2000
cheerful,樂,0.4633
cheerful,愉快,0.3747
cheerful,愉悅,0.3388
cheerfully,欣然,0.2587
cheerfully,談笑風生,0.2525
cheerfully,心悅誠服,0.2314
cheering,吶喊,0.2859
cheering,采聲,0.2193
cheering,彩聲,0.2000
cheerios,脆穀樂,0.2184
cheerleader,啦啦隊長,0.2281
cheerleading,咚咚,0.2491
cheerleading,啦啦隊,0.2442
cheers,乾杯,0.2447
cheers,歡聲,0.2369
cheers,歡聲笑語,0.2422
cheese,奶酪,0.3140
cheese,芝士,0.3073
cheese,乳酪,0.2341
cheesecake,芝士蛋糕,0.2325
cheesecake,起士蛋糕,0.2176
cheesecake,酪餅,0.2175
cheesy,土味情話,0.2000
cheesy,芝心,0.2000
cheetah,獵豹,0.2451
chef,廚師,0.3943
chef,主廚,0.2326
chef,掌勺,0.2295
chekhov,契訶夫,0.2311
chekhov,櫻桃園,0.2296
chelsea,切爾西,0.3425
chelsea,雀兒喜,0.2000
chemical,化學,0.5577
chemical,化學性,0.2317
chemical,反應,0.6504
chemically,流紋岩,0.2221
chemically,腐蝕,0.2834
chemicals,化學品,0.2536
chemicals,化學物,0.2296
chemicals,煉化,0.2436
chemist,化學家,0.2498
chemist,醫藥商店,0.2263
chemist,化學師,0.2220
chemistry,化學,0.5577
chemistry,國家重點學科,0.2312
chemistry,誘導,0.3291
chemotherapy,化療,0.3974
chemotherapy,化學治療,0.2285
chemotherapy,化學療法,0.2006
chen,陳,0.5495
chen,陳水扁,0.3082
chen,陳凱歌,0.2780
chen-fu,辜振甫,0.2269
chen-ning,楊振寧,0.2534
cheney,切尼,0.2367
cheng,承,0.3075
cheng,城區,0.3261
cheng,理學,0.2537
cheng'an,成安縣,0.2285
cheng'en,西遊記,0.3024
cheng'en,吳承恩,0.2313
chengdu's,雙流,0.2458
chennai,欽奈,0.2232
chennai,馬德拉斯,0.2252
chennai,泰米爾納德邦,0.2213
cheong,葵涌,0.2313
cheong,青瓦臺,0.2296
cheque,支票,0.2838
cher,德法年鑒,0.2000
cherie,鍾楚紅,0.2324
cherish,抱,0.4160
cherish,珍惜,0.3754
cherish,呵護,0.2882
cherished,心願,0.2908
cherished,割愛,0.2352
cherished,懷璧其罪,0.2274
chernobyl,切爾諾貝利,0.2285
cherry,櫻桃,0.2897
cherry,櫻,0.2691
cherry,櫻桃園,0.2296
cherry-apple,棠,0.2535
cherry-pick,挑肥揀瘦,0.2260
cherskii's,克氏黑鰭鰁,0.2000
chesapeake,契沙比克灣,0.2039
chess,國際象棋,0.2996
chess,棋,0.2957
chess,西洋棋,0.2236
chess-like,棋,0.2957
chess-like,枰,0.2366
chess-playing,深藍,0.2623
chessboard,棋盤,0.2695
chessboard,棋局,0.2367
chessboard,棋格狀,0.2084
chest,箱,0.3725
chest,胸口,0.3630
chest,胸部,0.3613
chester,尼米茲,0.2291
chestnut,栗子,0.3014
chestnut,栗,0.2549
chestnut,驊,0.2399
chestnut-bellied,栗腹磯鶇,0.2000
chestnut-bellied,栗腹鳾,0.2000
chestnut-breasted,紅胸山鷓鴣,0.2000
chestnut-capped,紅頂鶥,0.2000
chestnut-cheeked,紫背椋鳥,0.2000
chestnut-crowned,大樹鶯,0.2000
chestnut-crowned,栗頭鶲鶯,0.2000
chestnut-crowned,紅頭噪鶥,0.2000
chestnut-eared,栗耳鵐,0.2000
chestnut-flanked,紅脅繡眼鳥,0.2000
chestnut-headed,栗頭地鶯,0.2000
chestnut-headed,栗頭蜂虎,0.2000
chestnut-tailed,灰頭椋鳥,0.2000
chestnut-throated,雉鶉,0.2000
chestnut-vented,栗臀鳾,0.2000
chestnut-winged,紅翅鳳頭鵑,0.2000
chestnuts,焙煎,0.2150
chestnuts,炒貨,0.2341
chestnuts,火中取栗,0.2283
cheung,長沙灣,0.2246
cheung,張國榮,0.3400
cheung,張學友,0.2860
chevrolet,雪佛蘭,0.2476
chevrolet,雪佛萊,0.2264
chevron,雪佛龍,0.2286
chevron,人字形,0.2015
chevron,雪佛龍公司,0.2224
chew,嚼,0.2699
chew,咀嚼,0.2633
chew,咀,0.2441
chewed,口嚼酒,0.2000
chewed,吃別人嚼過的饃不香,0.2000
chewed,嚼酒,0.2000
chewing,口香糖,0.2524
chewing,拆家,0.2075
chewing,香口膠,0.2000
chewy,艮,0.2450
chewy,筋道,0.2123
chewy,牛奶糖,0.2280
cheyenne,夏延,0.2000
chi,凱,0.3307
chi,市尺,0.2262
chi,五音,0.2334
chi-ling,林志玲,0.2668
chi-mai,陳其邁,0.2000
chi-square,卡方,0.2000
chi-tse,曾紀澤,0.2292
chia,奇亞籽,0.2000
chia-chiao,林家翹,0.2197
chiang,蔣,0.3487
chiang,蔣介石,0.3145
chiang,宋美齡,0.2415
chiba,千葉,0.2355
chicago,芝加哥,0.3003
chicago,芝加哥大學,0.2328
chicago,風城,0.2299
chichi-ue,父上,0.2000
chick,小雞,0.2668
chick,馬子,0.2451
chick,雛,0.2441
chicken,雞,0.4094
chicken,縮頭烏龜,0.2297
chicken,雞湯,0.3813
chicken's,小肚雞腸,0.2300
chicken-hearted,怯懦,0.2403
chicken-hearted,膽小如鼠,0.2292
chickenpox,水花,0.2628
chickenpox,水痘,0.2407
chickens,如意算盤,0.2325
chickens,雞飛狗跳,0.2318
chickens,雞犬不寧,0.2301
chicks,孵育,0.2279
chicory,菊苣,0.2043
chide,呵斥,0.2412
chide,揮斥,0.2278
chief,長,0.6240
chief,頭,0.6079
chief,龍頭,0.4176
chieftain,頭目,0.2568
chieftain,渠魁,0.2195
chieftain,留里克,0.2000
chien-jen,陳建仁,0.2000
chiffon,雪紡,0.2058
chiffon,薄綢,0.2000
chihuahua,吉娃娃,0.2395
chihuahua,奇瓦瓦,0.2215
child,孩子,0.7473
child,子,0.6044
child,小孩,0.5765
child's,兒戲,0.2439
child's,小兒科,0.2402
child's,噼,0.2374
child-size,河童,0.2000
childbirth,催生,0.2796
childbirth,計生,0.2676
childbirth,產婦,0.2592
childcare,保育,0.2407
childcare,托兒,0.2326
childcare,托育,0.2175
childhood,童年,0.4292
childhood,兒時,0.2715
childhood,幼年,0.2564
childish,幼稚,0.3398
childish,嗲,0.3007
childish,孩子氣,0.2488
childishness,孩子氣,0.2488
childishness,童真,0.2426
childless,求子,0.2310
childless,過繼,0.2298
childless,斷子絕孫,0.2297
childlike,奶音,0.2000
childlike,娃娃音,0.2000
childlike,幼態,0.2000
children,子女,0.4547
children,孩子們,0.4514
children,兒女,0.3024
children's,童話,0.3283
children's,童裝,0.2561
children's,兒童節,0.2546
chile,智利,0.2726
chile,聖地亞哥,0.2341
chile,聖地牙哥,0.2252
chilean,皮諾切特,0.2246
chili,辣椒,0.4098
chili,紅辣椒,0.2347
chili,辣子,0.2341
chilies,剁椒,0.2106
chill,耍廢,0.2000
chill,冰,0.4174
chill,寒氣,0.2455
chilled,拔涼拔涼,0.2041
chilled,吹了,0.2569
chilled,水果撈,0.2000
chilling,冷颼颼,0.2292
chilling,冷森森,0.2257
chilling,寒蟬效應,0.2000
chilly,蕭瑟,0.2436
chilly,凊,0.2337
chilly,慄,0.2294
chime,敲鐘,0.2298
chime,套鐘,0.2152
chime,和,0.7911
chimes,風鈴,0.2527
chimes,鐵馬,0.2352
chiming,自鳴鐘,0.2246
chimney,煙囪,0.2519
chimney,囪,0.2332
chimney,煙筒,0.2319
chimneys,炊煙,0.2427
chimpanzee,黑猩猩,0.2390
chimpanzee,倭黑猩猩,0.2000
chin,下巴,0.3582
chin,頤,0.2592
chin,頦,0.2347
chin-up,引體向上,0.3494
china's,新華書店,0.2797
china's,海南島,0.2468
china's,中央黨校,0.2455
china-affiliated,恆生中資企業指數,0.2106
china-africa,中非,0.2440
china-australia,中澳,0.2344
china-bahamas,中巴,0.2485
china-cuba,中古,0.2599
china-france,中法,0.2473
china-india,中印,0.2512
china-japan,中日,0.2839
china-korea,鴨綠江,0.2341
china-myanmar,胞波,0.2000
china-nepal,中尼,0.2000
china-pakistan,中巴,0.2485
china-philippines,中菲,0.2000
china-russia,中俄,0.2655
china-south,中韓,0.2560
china-south,中南,0.2823
china-turkey,中土,0.2508
china-us,中美,0.3227
chinatown,唐人街,0.2431
chinatown,中國城,0.2325
chinatown,華埠,0.2293
chinchilla,龍貓,0.2473
chinchilla,栗鼠,0.2286
chinese-american,貝聿銘,0.2397
chinese-american,陳省身,0.2282
chinese-american,丘成桐,0.2279
chinese-australian,陶哲軒,0.2231
chinese-born,陳沖,0.2335
chinese-born,崔琦,0.2000
chinese-built,翔鳳,0.2278
chinese-canadian,楊月清,0.2173
chinese-controlled,實際控制線,0.2000
chinese-dutch,楊斌,0.2327
chinese-educated,耶律大石,0.2263
chinese-english,中英,0.2566
chinese-english,漢英,0.2360
chinese-foreign,中外,0.2907
chinese-language,京華時報,0.2408
chinese-polish,中波,0.2316
chinese-style,褂,0.2412
chinese-style,袍子,0.2388
chinese-style,扁食,0.2271
chinese-taiwanese-us,白先勇,0.2057
chinese-western,中西,0.2608
chinese-western,中西合併,0.2220
ching,清補涼,0.2000
ching,易,0.4473
ching,周易,0.2502
ching-kuo,蔣經國,0.2410
ching-te,賴清德,0.2000
ching-wan,劉青雲,0.2459
chink,縫隙,0.3145
chink,縫子,0.2222
chink,罩門,0.2260
chinook,支努干,0.2175
chinook,奇努克,0.2162
chinook,大鱗大麻哈魚,0.2000
chip,碎片,0.3942
chip,籌,0.2731
chip,晶片,0.2391
chipmunk,栗鼠,0.2286
chipmunk,花栗鼠,0.2278
chipped,齾,0.2163
chipped,打製石器,0.2225
chipper,起撲桿,0.2066
chipping,打製,0.2297
chips,薯條,0.2511
chips,趣多多,0.2246
chips,薯片,0.2541
chirac,希拉克,0.2400
chirac,拉法蘭,0.2269
chiropractor,脊椎指壓治療師,0.2124
chirp,吱,0.2434
chirp,噪,0.2415
chirp,嘰嘰喳喳,0.2406
chirping,唧唧,0.2486
chirping,蟬鳴,0.2328
chirping,喿,0.2192
chisel,鑿,0.2510
chisel,鍥,0.2391
chisel,鑿子,0.2288
chiseled,麻石,0.2280
chit,扯家常,0.2192
chit-chat,空談,0.2417
chitchat,調侃,0.3642
chivalrous,俠義,0.2423
chivalrous,任俠,0.2281
chivalrous,大俠,0.2898
chivalry,俠義,0.2423
chivalry,俠氣,0.2280
chivalry,武俠,0.3532
chives,韭菜花,0.2288
chives,韭菜,0.4038
chives,韭黃,0.2297
chlamydia,衣原體,0.2343
chlamydia,衣原菌,0.2115
chlamydia,鳥疫衣原體,0.2053
chloride,鹽酸鹽,0.2326
chloride,氯化物,0.2317
chloride,鹵化物,0.2285
chlorine,氯,0.2617
chlorine,氯氣,0.2334
chlorine,氯單質,0.2083
chloroform,氯仿,0.2319
chloroform,三氯甲烷,0.2290
chloroform,哥羅芳,0.2183
chlorophyll,葉綠素,0.2338
chlorophyll,卟啉,0.2324
cho,張秋,0.2279
cho,苯甲醛,0.2313
cho,丙醛,0.2239
chock,塞滿,0.2433
chocolate,巧克力,0.3866
chocolate,朱古力,0.2350
chocolate,巧克力脆片,0.2126
chocolate-coated,麥麗素,0.2000
chocolate-covered,麥提莎,0.2000
chocolate-flavored,美祿,0.2265
choe,崔圭夏,0.2192
choi,崔螢,0.2053
choi-yi,應采兒,0.2323
choice,選擇,0.7734
choice,選項,0.5543
choice,精選,0.3760
choir,合唱團,0.2481
choir,唱詩班,0.2298
choke,憋,0.2997
choke,窒息,0.2992
choke,咽,0.2716
choked,堵,0.3014
choked,淤,0.2548
choked,憋氣,0.2407
choking,窒息性毒劑,0.2184
choking,凄梗,0.2000
choking,因噎廢食,0.2293
cholera,霍亂,0.2401
cholera,痧,0.2338
cholera,虎列拉,0.2137
cholesterol,膽固醇,0.2668
chon,帕塔亞,0.2272
chon,芭達雅,0.2189
chong,八字方針,0.2251
chong,重覆,0.5684
chong,沖擊,0.5336
chongqing's,江北,0.2643
choose,取,0.5753
choose,選,0.5563
choose,挑選,0.4922
choosers,飢不擇食,0.2296
chooses,冷眼旁觀,0.2333
chooses,良禽擇木,0.2244
chooses,良禽擇木而棲,0.2231
choosing,飢不擇食,0.2296
choosy,挑三揀四,0.2299
choosy,挑肥揀瘦,0.2260
chop,排,0.4433
chop,砍,0.3558
chop,斬,0.2896
chop-hanging,劈掛拳,0.2220
chopin,肖邦,0.3115
chopin,蕭邦,0.2320
chopped,蔥花,0.2501
chopped,熗,0.2361
chopped,劈柴,0.2313
chopper,鈇,0.2002
chopping,砧板,0.2333
chopping,菜板,0.2308
chopping,切菜板,0.2239
chopstick,筷,0.2418
chopsticks,筷子,0.3141
chopsticks,箸,0.2346
chopsticks,梜,0.2163
choral,聲部,0.2992
chord,和弦,0.4827
chord,弦,0.2803
chord,絃,0.2490
chore,苦差,0.2273
chore,家務活,0.2328
choreographed,排舞,0.2310
choreographed,武術,0.3772
choreographed,開打,0.2524
choreographer,編舞,0.2311
choreographer,莫伊謝耶夫,0.2175
choreographer,林懷民,0.2000
choreographer-director,編導,0.2591
choreography,編舞,0.2311
chores,雜事,0.2421
chores,十指不沾陽春水,0.2000
chorus,副歌,0.3056
chorus,合唱,0.3044
chorus,合唱團,0.2481
chose,萬變不離其宗,0.2297
chose,無顏見江東父老,0.2228
chosen,選題,0.3362
chosen,選召,0.2221
chosen,講究,0.4383
chosun,朝鮮日報,0.2308
chosun,世宗,0.2330
chosun,世宗大王,0.2229
chou,地支,0.2341
chou,周杰倫,0.5321
chou,丑,0.3519
chow,周潤發,0.2604
chow,南派螳螂,0.2077
chow,炒麵,0.2000
choy,蔡李佛,0.2249
choy,菜心,0.2211
choy,白菜,0.3141
chris,彭定康,0.2253
chris,李宇春,0.3119
chris,考克斯報告,0.2183
christ,基督,0.2659
christ,公元前,0.3973
christ,耶穌基督,0.2342
christen,命名,0.4132
christen,取名,0.2957
christen,起名,0.2709
christened,受洗命名,0.2000
christi,聖體節,0.2167
christi,基督聖體節,0.2136
christian,基督徒,0.2569
christian,克里斯汀,0.2330
christian,基督教徒,0.2309
christiane,克里斯汀,0.2330
christianity,基督教,0.3067
christianity,聖經,0.3358
christianity,救世主,0.2876
christians,二毛子,0.2000
christians,科普特人,0.2000
christine,克里斯汀,0.2330
christine,范瑋琪,0.2420
christine,崔明慧,0.2144
christmas,聖誕,0.3050
christmas,聖誕節,0.2913
christmas,耶誕節,0.2251
christoph,席勒,0.2305
christopher,克里斯托弗,0.2315
christopher,克利斯朵夫,0.2266
christopher,希爾,0.2588
chrome,橙黃,0.2338
chrome,橙黃色,0.2309
chrome-plated,鍍層,0.2351
chromium,有色金屬,0.2674
chromium,鉻,0.2536
chromium,黑色金屬,0.2340
chromosome,染色體,0.3164
chromosome,常染色體,0.2294
chromosome,端粒,0.2285
chromosomes,多倍體,0.2273
chromosomes,染色體倍性,0.2196
chromosomes,雙倍體,0.2182
chronic,慢性,0.3184
chronic,慢性病,0.2675
chronic,頑疾,0.2405
chronicle,紀,0.3123
chronicle,紀年,0.2541
chronicle,編年史,0.2347
chronicles,納尼亞傳奇,0.2316
chronicles,阿斯蘭,0.2310
chronicles,八岐大蛇,0.2257
chronological,按時間先後,0.2233
chronological,編年體,0.2274
chronological,順敘,0.2238
chrysalis,蛹,0.2410
chrysalis,蠶蛹,0.2314
chrysalis,化蛹,0.2289
chrysanthemum,菊花,0.2973
chrysanthemum,菊,0.2916
chrysanthemum,黃花,0.2549
chrysanthemums,術,0.3432
chrysanthemums,明日黃花,0.2281
chrysler,克萊斯勒,0.2550
chrysler,道奇,0.2359
chu,機場,0.4226
chu,廁所,0.4053
chu,球場,0.3796
chu-born,伍子胥,0.2320
chu-han,楚漢戰爭,0.2246
chu-han,蕭何,0.2650
chu-han,曹參,0.2277
chuan,四川,0.4546
chuan,龍頭,0.4176
chuan,川,0.3621
chub,鰷,0.2271
chubby,胖乎乎,0.2325
chubby,胖嘟嘟,0.2309
chubby,肥頭大耳,0.2277
chuck,發卡,0.2493
chuck,夾頭,0.2314
chuck,卡盤,0.2305
chuckle,呵呵,0.7769
chuckle,咯咯笑,0.2298
chuckling,吃吃,0.2446
chucky,恰吉,0.2000
chui,流星,0.2859
chui,鎚,0.2561
chui,椎,0.2468
chum,大馬哈魚,0.2273
chun,五音,0.2334
chun,全斗煥,0.2260
chun,野火春風,0.2000
chun'an,淳安縣,0.2327
chun-ying,梁振英,0.2000
chun-yu,吳鎮宇,0.2399
chung,鄭夢準,0.2246
chung,中原大學,0.2241
chung,鍾楚紅,0.2324
chung-cheng,蔣中正,0.2289
chung-hee,朴正熙,0.2265
chung-hee,朴槿惠,0.2184
chunk,塊,0.5814
chunk,一塊,0.5548
chunk,截,0.2940
chunks,冰坨子,0.2180
chunks,滾刀塊,0.2000
chunks,果粒,0.2093
church,教堂,0.3638
church,禮拜堂,0.2301
church,羅馬教廷,0.2271
churches,修女,0.2438
churchill,邱吉爾,0.2280
churchill,波茨坦會議,0.2224
churchyard,教堂墓地,0.2183
churn,打奶,0.2234
churn,粗製濫造,0.2381
churn,翻騰,0.2449
churro,吉事果,0.2025
chute,溜槽,0.2287
chutney,酸辣醬,0.2214
ci,經歷,0.7103
ci,比賽,0.6882
ci,實驗,0.6316
ci'an,安德海,0.2268
ci'an,慈安太后,0.2214
cia,中情局,0.2413
cia,中央情報局,0.2318
cia,水刑逼供,0.2131
cicada,蟬,0.2530
cicada,知了,0.2374
cicada,蜩,0.2279
cicada's,蟬翼,0.2318
cicadas,蟬鳴,0.2328
cicadas,同翅目,0.2232
cicadas,半翅目,0.2231
cicero,西塞羅,0.2280
cider,蘋果酒,0.2268
cider,西打,0.2000
cigar,雪茄,0.2489
cigar,雪茄煙,0.2286
cigar,卷煙,0.2000
cigarette,蔃,0.2216
cigarette,卷煙,0.2000
cigarette,煙捲,0.2000
cigarettes,根,0.4609
cilantro,香菜,0.3296
cilantro,胡荽,0.2257
cilantro,老虎菜,0.2000
cinch,不在話下,0.2621
cinch,十拿九穩,0.2293
cincinnati,辛辛那提,0.2310
cinderella,灰姑娘,0.2534
cinders,燼,0.2348
cinema,影院,0.4039
cinema,電影院,0.3894
cinema,影劇院,0.2343
cinematic,鏡頭語言,0.2000
cinematographer,攝影師,0.4858
cinematography,視角,0.5675
cinematography,運鏡,0.2000
cinnamon,桂枝,0.2348
cinnamon,栗葦鳽,0.2000
cinnamon,肉桂,0.2355
cipher,密碼,0.5770
circa,頃,0.2422
circle,循環,0.5460
circle,林,0.5389
circle,周,0.5113
circles,圈圈,0.4244
circles,黑眼圈,0.3504
circles,學術界,0.3297
circling,交馳,0.2207
circuit,道,0.5785
circuit,線路,0.4269
circuit,回路,0.2595
circuits,伏安,0.2324
circular,圓,0.3618
circular,圓形,0.3482
circular,通報,0.3195
circulate,傳,0.5669
circulate,循環,0.5460
circulate,流動,0.4345
circulated,紅頭文件,0.2318
circulated,始發,0.2476
circulated,盛傳,0.2441
circulating,流動資金,0.2510
circulation,流通,0.3935
circulation,周轉,0.2487
circulation,發行額,0.2263
circulatory,循環性,0.2261
circulatory,循環系統,0.2563
circum-pacific,火環,0.2255
circum-pacific,環太平洋地震帶,0.2217
circum-pacific,環太平洋火山帶,0.2157
circumcision,包皮環切,0.2313
circumcision,包皮環切術,0.2288
circumcision,割禮,0.2284
circumference,周,0.5113
circumference,圓周,0.2344
circumference,周徑,0.2244
circumstance,條件,0.6786
circumstance,景,0.3605
circumstance,境遇,0.2746
circumstances,情況,0.7126
circumstances,環境,0.7046
circumstances,情節,0.5744
circumstantial,旁證,0.2283
circumstantial,間接證據,0.2253
circumvent,繞過,0.3010
circumvent,枉法,0.2331
circumvent,梯子,0.2666
circus,馬戲團,0.2441
circus,馬戲,0.2368
circus,爬竿,0.2212
cirque,冰斗,0.2244
cirrhosis,肝硬化,0.2542
cis,順式,0.2275
cisco,思科,0.2766
cistern,水箱,0.2875
cistern,堈,0.2182
citadel,衛城,0.2335
citadel,牙城,0.2234
citation,引文,0.2544
citation,嘉獎,0.2439
citation,男女授受不親,0.2272
cite,引用,0.5434
cite,舉,0.3377
cite,表彰,0.2859
cited,參考文獻,0.3429
cited,前揭,0.2213
cited,兕,0.2305
cities,城邑,0.2195
cities,城鎮,0.3288
cities,省市,0.2955
citing,引徵,0.2205
citing,引敘,0.2135
citizen,公民,0.3709
citizen,拍客,0.2000
citizen,普通人,0.6329
citizen's,公民義務,0.2248
citizens,國民,0.3809
citizens,便民,0.2562
citizens,雙非,0.3999
citizenship,公民權,0.2305
citizenship,球籍,0.2009
citizenship,雙重國籍,0.2272
citrus,柑橘,0.2608
citrus,黃龍病,0.2000
citrus,柚子,0.2697
city-run,市立,0.2349
city-state,科林斯,0.2297
ciudad,雷阿爾城,0.2131
civet's,貓屎咖啡,0.2000
civil,國內,0.7414
civil,民事,0.2772
civil,公務員,0.5453
civilian,平民,0.4092
civilian,小民,0.2435
civilian,民用,0.2909
civilians,文武合一,0.2159
civilians,撤僑,0.2242
civilians,秋毫無犯,0.2238
civility,公德心,0.2293
civility,虛與委蛇,0.2284
civilization,文化,0.6970
civilization,文明,0.5949
civilization,巔峰,0.4914
civilizations,蘇美爾,0.2284
civilized,文明,0.5949
civilized,開化,0.2358
ck,卡爾文克萊因,0.2057
claim,號稱,0.4621
claim,聲稱,0.3754
claim,宣稱,0.3568
claimed,釣魚島,0.2491
claimed,牛軛礁,0.2000
claimed,釣魚臺,0.2427
claiming,蜀漢,0.3378
claiming,武術,0.3772
claims,理賠,0.4275
claims,置信,0.2457
claims,分庭抗禮,0.2305
claire,克萊爾,0.2369
claire,陳納德,0.2267
claire,陳香梅,0.2261
clam,蛤,0.2512
clam,蚌,0.2432
clam,蛤蜊,0.2336
clam-monster,蜃,0.2382
clammy,黏膩,0.2290
clammy,濕漉漉,0.2039
clammy,濕黏,0.2000
clamor,喧囂,0.2675
clamor,喧,0.2473
clamor,囂,0.2402
clamour,吵嚷,0.2289
clamp,鉗,0.2500
clamp,夾子,0.2494
clamp,夾具,0.2436
clamping,卡槽,0.2235
clamps,輗,0.2001
clams,蛤蟹,0.2125
clams,河鮮,0.2298
clams,海陸煲,0.2122
clan,家族,0.5685
clan,宗,0.3530
clan,族,0.3443
clan's,郡望,0.2000
clancy,獵殺紅色十月號,0.2165
clandestine,曖,0.2420
clandestine,秘密,0.2000
clandestine,秘密活動,0.2000
clang,鐺,0.2413
clang,嘩,0.2378
clang,鏗,0.2361
clanging,噹啷,0.2274
clanging,當啷,0.2028
clank,鐺,0.2413
clank,鋃鐺,0.2304
clank,響叮噹,0.2301
clanking,叮噹,0.2567
clanking,叮咚,0.2423
clanking,叮叮噹噹,0.2313
clans,三族,0.2313
clap,拍,0.5943
clap,鼓掌,0.3069
clap,噼,0.2374
clapper,快板兒,0.2186
clapper,鼓點子,0.2142
clapper,梆子,0.2339
clapper-board,鼓板,0.2222
claptrap,口出狂言,0.2297
claptrap,嘩眾取寵,0.2000
clare,克蕾兒,0.2212
claremont,克萊蒙特,0.2242
claremont,克萊爾蒙特,0.2000
clarence,韋慕庭,0.2140
claret,紫紅色,0.2406
clarification,釐清,0.2326
clarify,明確,0.6046
clarify,澄清,0.3238
clarify,理清,0.2901
clarinet,單簧管,0.2319
clarinet,豎笛,0.2283
clarinet,黑管,0.2280
clarion,登高一呼,0.2250
clarity,清晰度,0.2826
clarity,一,0.7587
clarity,明鏡,0.2430
clark,克拉克,0.2506
clark,雷德,0.2409
clarke,克拉克,0.2506
