# English → Traditional-Chinese assist derived from pinned CC-CEDICT,
# FrequencyWords English vocabulary, and rime-essay ranking data.
# Curated Hong Kong rows are a separately pinned higher-priority input.
# CC-CEDICT source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# CC-CEDICT source date: 2026-07-12T16:23:25Z
# CC-CEDICT SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# Per-key candidate cap: 3; key length<=32.
english,chinese,freq
absorb,消化,0.4432
absorbed,投入,0.6189
absorbed,吸收劑量,0.2227
absorbed,沉澱,0.4200
absorbent,吸水,0.2457
absorbent,吸附劑,0.2327
absorbent,脫脂棉,0.2280
absorbing,返潮,0.2260
absorption,吸附性,0.2278
absorption,暗星雲,0.2205
absorption,減震,0.3040
abstain,棄權,0.2460
abstain,禁忌,0.2980
abstain,忌諱,0.2604
abstinence,戒絕,0.2236
abstinence,勒戒,0.2250
abstinence,開戒,0.2233
abstract,抽象,0.4398
abstract,摸,0.3847
abstract,摘要,0.3015
abstraction,抽象,0.4398
absurd,笑話,0.4404
absurd,荒謬,0.2743
absurd,荒,0.2733
abu,阿布扎比,0.2318
abu,曼蘇爾,0.2251
abu,阿布沙耶夫,0.2232
abundance,充裕,0.3149
abundance,大有,0.2738
abundance,優裕,0.2288
abundant,給,0.7704
abundant,豐富,0.6494
abundant,博,0.4221
abundantly,昭然若揭,0.2298
abundantly,開滿,0.2422
abuse,罵,0.5001
abuse,辱罵,0.3165
abuse,濫用,0.3162
abused,心影兒,0.2081
abused,口袋罪,0.2021
abuser,施虐者,0.2000
abuses,罵街,0.2418
abuses,獸父,0.2000
abusing,假公濟私,0.2287
abysmal,稀爛,0.2542
abyss,深處,0.3368
abyss,深淵,0.3259
abyss,深潭,0.2329
ac,判別式,0.2236
ac,錒系元素,0.2201
ac,反用換流器,0.2125
acacia,金合歡,0.2269
acacia,阿拉伯膠,0.2244
acacia,刺槐,0.2307
academia,學術界,0.3297
academia,學界,0.3122
academia,教育界,0.2446
academic,學術,0.5759
academic,課程,0.7178
academic,導師,0.6388
academics,翰林,0.2433
academies,辟雍,0.2245
academy,院校,0.5478
academy,研究院,0.3520
academy,學園,0.2448
acapulco,阿卡普爾科,0.2251
accelerate,加速,0.5628
accelerate,加油,0.5028
accelerate,加快,0.4427
accelerated,速成,0.2976
acceleration,加速度,0.3089
acceleration,重力加速度,0.2282
acceleration,恆加速度,0.2138
accelerator,油門,0.3168
accelerator,加速器,0.2686
accelerator,氣門,0.2478
accent,調,0.4577
accent,口音,0.3833
accent,腔,0.2810
accents,調號,0.2247
accept,接下來,0.6810
accept,收,0.5836
accept,受,0.5717
acceptable,說得過去,0.2436
acceptable,未嘗不可,0.2320
acceptable,皆可,0.2581
acceptance,驗收,0.3405
acceptance,包容心,0.2000
acceptance,錄取率,0.2680
accepted,公認,0.2937
accepted,無爭議,0.2285
accepted,定論,0.2853
accepting,曠達,0.2309
accepting,甘於,0.2424
accepting,地藏,0.2362
accepts,田忌賽馬,0.2133
accepts,龜男,0.2000
access,接觸,0.6273
access,訪問,0.5184
access,接入,0.3575
accessible,淺顯,0.2763
accessible,無障礙,0.2547
accessible,易接近,0.2240
accessories,佩帶,0.2442
accessory,配件,0.3883
accessory,飾品,0.3007
accessory,附屬品,0.2316
accident,一起,0.7124
accident,意外,0.4920
accident,事故,0.4483
accidental,偶,0.6317
accidental,無意,0.3227
accidental,偶見,0.2317
accidentally,一不小心,0.3420
accidentally,無意中,0.2718
accidentally,失手,0.2486
accidents,高發,0.2527
accidents,以備不測,0.2221
acclaim,追捧,0.3188
acclaim,歡呼,0.2772
acclaim,讚譽,0.2596
acclaimed,馳譽,0.2275
accommodate,容納,0.2890
accommodate,收容,0.2463
accommodate,容下,0.2316
accommodating,相通,0.3007
accommodating,圓通,0.2660
accommodating,好惹,0.2340
accommodation,住宿,0.3457
accommodation,店錢,0.2206
accommodation,農家樂,0.2517
accompanied,輔以,0.2578
accompanied,偕同,0.2289
accompanied,攜眷,0.2253
accompaniment,佐餐,0.2307
accompaniment,幫腔,0.2296
accompaniment,琴書,0.2287
accompany,送,0.6007
accompany,陪,0.4998
accompany,陪伴,0.4280
accompanying,隨同,0.2434
accompanying,附件,0.4760
accompanying,下飯,0.2491
accomplice,團伙,0.2744
accomplice,爪牙,0.2319
accomplice,共犯,0.2317
accomplices,手足,0.2543
accomplish,完成,0.7131
accomplish,成,0.6637
accomplish,做到,0.6524
accomplished,彥,0.2880
accomplished,彧,0.2373
accomplished,停當,0.2306
accomplishing,醉翁之意不在酒,0.2299
accomplishing,勞而無功,0.2266
accomplishing,馬齒徒增,0.2165
accomplishment,成就,0.5725
accomplishment,業績,0.5538
accomplishment,素養,0.3451
accomplishments,琴棋書畫,0.2336
accomplishments,彪炳,0.2297
accomplishments,武功,0.3888
