# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
fai,鼣,0.1778
fai,椲,0.1764
fai,昲,0.1754
fai,蘳,0.1739
fai,瀈,0.1701
fai,胇,0.1691
fai,屝,0.0523
fai,撝,0.045
faibeng,肺病,0.4656
faicaai,廢柴,0.4725
faiceoi,廢除,0.4982
faici,廢弛,0.4582
faici,徽幟,0.4392
faicik,揮斥,0.4609
faidim,沸點,0.4752
faidung,揮動,0.4752
faifaat,揮發,0.4845
faifok,揮霍,0.4822
faigaai,費解,0.4737
faiging,費勁,0.5012
faigwan,揮軍,0.4615
faihaa,麾下,0.4841
faihei,廢棄,0.4944
faihei,廢氣,0.4772
faiheoi,廢墟,0.4944
faijik,廢液,0.4653
faijim,肺炎,0.4976
faijing,暉映,0.4574
faijung,費用,0.5678
faijyu,徽語,0.4511
faikyun,揮拳,0.4651
failou,肺癆,0.4603
faimak,徽墨,0.4595
faimat,廢物,0.5046
faimou,揮舞,0.4811
faipiu,廢票,0.4587
faisaa,揮灑,0.4764
faisan,費神,0.465
faisau,揮手,0.4867
faise,吠舍,0.4555
faisek,沸石,0.4664
faiseoi,廢水,0.4846
faiseoi,沸水,0.4748
faisi,費事,0.4764
faisi,揮師,0.4637
faitang,沸騰,0.4929
faitit,廢鐵,0.4674
faiwaa,廢話,0.5263
faiwong,輝煌,0.5171
faizaa,廢渣,0.4657
faizi,廢紙,0.4793
faizi,廢止,0.476
faizi,痱子,0.4711
faizi,廢置,0.4584
faizoeng,徽章,0.4848
faizyu,揮麈,0.4504
faizyut,廢黜,0.4618
fan,分,0.3572
fan,份,0.3116
fan,粉,0.2779
fan,噴,0.2719
fan,訓,0.2596
fan,昏,0.2572
fan,扮,0.2515
fan,婚,0.2505
fan,芬,0.2479
fan,墳,0.2451
fan,薰,0.2413
fan,奮,0.2373
fan,糞,0.2357
fan,焚,0.2332
fan,頒,0.2318
fan,睏,0.2318
fan,勳,0.2282
fan,葷,0.2278
fan,玢,0.2261
fan,忿,0.2251
fan,僨,0.225
fan,拚,0.2244
fan,熏,0.2243
fan,賁,0.2242
fan,酚,0.2237
fan,憤,0.2215
fan,棼,0.2213
fan,壎,0.2212
fan,紛,0.221
fan,窨,0.2193
fan,牝,0.2185
fan,魵,0.2161
fan,汾,0.2145
fan,勛,0.2136
fan,坋,0.2105
fan,朌,0.2101
fan,氛,0.2084
fan,燻,0.2082
fan,瞓,0.2077
fan,炃,0.2075
fan,閽,0.2069
fan,吩,0.2066
fan,獯,0.2058
fan,曛,0.2057
fan,醺,0.2047
fan,緡,0.2047
fan,鐼,0.204
fan,鳻,0.2038
fan,瀵,0.2038
fan,濆,0.2019
fan,薫,0.2017
fan,衯,0.2011
fan,蒶,0.2007
fan,妢,0.1994
fan,棻,0.1984
fan,勲,0.1975
fan,蚡,0.1975
fan,惛,0.1969
fan,昐,0.1969
fan,餴,0.1968
fan,橨,0.1967
fan,鈖,0.1963
fan,雰,0.1958
fan,訜,0.1953
fan,殙,0.1947
fan,鼢,0.1945
fan,蕡,0.1943
fan,鱝,0.194
fan,焄,0.1938
fan,帉,0.193
fan,砏,0.1922
fan,昬,0.1915
fan,枌,0.1915
fan,黺,0.1914
fan,敯,0.1904
fan,涽,0.1904
fan,馚,0.1896
fan,弅,0.189
fan,塤,0.1889
fan,睧,0.1888
fan,轒,0.1883
fan,錀,0.1881
fan,棔,0.1872
fan,豶,0.1855
fan,羒,0.1852
fan,隫,0.1847
fan,翂,0.1846
fan,朆,0.1841
fan,梤,0.1831
fan,燌,0.1831
fan,燓,0.183
fan,睯,0.1826
fan,幩,0.1815
fan,秎,0.1805
fan,蚠,0.1803
fan,矄,0.1795
fan,羵,0.1794
fan,膹,0.1794
fan,岎,0.1791
fan,蔒,0.1787
fan,黂,0.1787
fan,鑂,0.1786
fan,鼖,0.1781
fan,歕,0.1771
fan,焝,0.1767
fan,臐,0.1765
fan,爋,0.1755
fan,饙,0.1754
fan,馩,0.1728
fan,蘍,0.1725
fan,湣,0.1173
fan,纁,0.045
fanam,昏暗,0.481
fanbaan,粉板,0.4531
fanbat,粉筆,0.4892
fanbei,分泌,0.5172
fanbeng,粉餅,0.4737
fanbin,分辨,0.515
fanbin,糞便,0.4877
fanbin,婚變,0.4681
fanbin,分辯,0.4673
fanbit,分別,0.561
fanbou,分佈,0.5469
fanbou,分部,0.4838
fanbui,分貝,0.4908
fancaa,分叉,0.4734
fancaak,分拆,0.476
fancaak,分冊,0.4698
fancaat,粉刷,0.4739
fancan,粉塵,0.477
fanci,粉刺,0.4797
fanci,訓詞,0.4567
fancik,訓斥,0.4757
fancin,婚前,0.4878
fancing,憤青,0.488
fancing,分清,0.4853
fancing,紛呈,0.4691
fancoeng,墳場,0.4651
fancoeng,粉腸,0.4636
fancoeng,粉牆,0.4634
fancoi,葷菜,0.466
fancoi,粉彩,0.465
fancyun,分寸,0.4781
fancyun,酚醛,0.4665
fandaam,分擔,0.4932
fandai,粉底,0.4809
fandau,奮鬥,0.5266
fandei,墳地,0.4651
fandik,訓迪,0.4456
fandim,分店,0.4857
fandim,分點,0.4675
fandin,婚典,0.4651
fandiu,分掉,0.4605
fandoi,粉黛,0.4652
fandou,昏倒,0.484
fandou,分度,0.4656
fandou,訓導,0.4651
fanduk,訓讀,0.4476
fandyun,分段,0.4986
fanfaa,分化,0.5155
fanfaa,焚化,0.463
fanfaan,紛繁,0.476
fanfaat,分發,0.4975
fanfan,紛紛,0.5393
fanfan,憤憤,0.4726
fanfan,忿忿,0.4656
fanfei,紛飛,0.4763
fanfei,奮飛,0.4607
fanfei,糞肥,0.4596
fanfong,芬芳,0.4831
fanfu,吩咐,0.4867
fanfu,分付,0.4614
fanfung,薰風,0.4609
fanfung,焚風,0.4564
fang,揈,0.205
fangaa,分家,0.4747
fangaa,婚嫁,0.4742
fangaai,分解,0.5279
fangaai,訓戒,0.4545
fangaak,分隔,0.4807
fangaau,瞓覺,0.4606
fangei,分機,0.4833
fangeng,分鏡,0.5066
fangeoi,分居,0.4783
fangeoi,分句,0.4626
fangik,憤激,0.4593
fangot,分割,0.5209
fangu,訓詁,0.4639
fanguk,分局,0.499
fangung,分工,0.5114
fanhaau,分校,0.5074
fanhak,昏黑,0.46
fanhak,兝,0.1828
fanhan,忿恨,0.4604
fanhim,粉芡,0.4551
fanhiu,分曉,0.4667
fanho,汾河,0.4653
fanhoeng,分享,0.5847
fanhoi,分開,0.5326
fanhong,分行,0.5038
fanhou,分號,0.4706
fanhou,分毫,0.4664
fanhung,分紅,0.5184
fanhung,粉紅,0.49
fanjan,婚姻,0.5328
fanjau,分憂,0.4661
fanjau,墳丘,0.4568
fanje,分野,0.4635
fanjin,婚宴,0.48
fanjin,忿然,0.4587
fanjin,婚筵,0.4534
fanjip,分頁,0.496
fanjip,勳業,0.4577
fanjoek,婚約,0.4673
fanjoeng,汾陽,0.4667
fanjuk,燻肉,0.4633
fanjung,奮勇,0.4732
fanjung,昏庸,0.4643
fanjyun,粉圓,0.4601
fanjyun,憤怨,0.4545
fankei,分期,0.5065
fankei,分歧,0.5051
fankei,婚期,0.472
fankeoi,分區,0.5127
fankoi,憤慨,0.4771
fankui,昏聵,0.4597
fankyut,昏厥,0.4662
fanlaan,芬蘭,0.4965
fanlai,婚禮,0.512
fanlau,分流,0.4979
fanlau,分餾,0.4615
fanlei,分離,0.5316
fanleoi,分類,0.5597
fanlik,奮力,0.485
fanlin,訓練,0.5815
fanling,訓令,0.46
fanlit,分裂,0.5237
fanloeng,分量,0.5138
fanloeng,份量,0.4786
fanluk,分錄,0.4656
fanlyun,昏亂,0.4593
fanmai,昏迷,0.4905
fanmak,粉墨,0.4665
fanmin,分娩,0.4843
fanmin,奮勉,0.4538
fanming,分明,0.5007
fanmou,墳墓,0.4839
fanmou,分母,0.4737
fanmut,粉末,0.4831
fanngaa,瓰,0.1737
fanngaak,份額,0.5211
fanngoi,分外,0.4787
fanngoi,份外,0.4625
fannou,憤怒,0.5394
fanpaa,糞耙,0.4408
fanpaai,分派,0.4722
fanpei,粉皮,0.4643
fanpok,粉撲,0.465
fanpui,分配,0.5437
fanpui,婚配,0.4662
fansaa,婚紗,0.4952
fansaan,分散,0.5271
fansaan,墳山,0.4586
fansam,分心,0.4845
fansan,分身,0.4794
fansan,分神,0.4666
fansau,分手,0.524
fanseng,葷腥,0.4617
fanseoi,粉碎,0.4878
fanseoi,昏睡,0.4742
fansi,粉絲,0.5777
fansi,婚事,0.4775
fansi,分屍,0.4658
fansi,訓示,0.4604
fansik,分析,0.5955
fansik,粉飾,0.4717
fansin,分線,0.4664
fansing,分成,0.5369
fansing,竕,0.1768
fansiu,分銷,0.4866
fansiu,焚燒,0.4825
fansou,分數,0.5617
fansou,葷素,0.4645
fantaan,分攤,0.4855
fantai,分體,0.4405
fantau,分頭,0.4751
fantin,熏天,0.4635
fantiu,訓條,0.4535
fantou,熏陶,0.4829
fantou,薰陶,0.4804
fanwaa,訓話,0.4651
fanwai,分爲,0.5617
fanwai,氛圍,0.5557
fanwai,焚毀,0.4653
fanwan,紛紜,0.4677
fanzaam,分站,0.4785
fanzam,分針,0.4635
fanzang,紛爭,0.4845
fanzau,汾酒,0.4657
fanzek,勳績,0.4532
fanzeoi,糞蛆,0.444
fanzi,分子,0.541
fanzi,分支,0.5239
fanzi,份子,0.4812
fanzin,奮戰,0.4806
fanzing,燻蒸,0.4809
fanzoeng,勳章,0.4853
fanzoeng,勛章,0.4788
fanzoeng,分賬,0.4617
fanzou,分組,0.5082
fanzung,分鐘,0.5847
fat,發,0.3605
fat,法,0.3208
fat,伐,0.3036
fat,佛,0.2901
fat,髮,0.2789
fat,拂,0.2517
fat,罰,0.2488
fat,忽,0.2422
fat,掘,0.2399
fat,弗,0.2347
fat,閥,0.2344
fat,沸,0.2342
fat,砩,0.2297
fat,氟,0.2297
fat,乏,0.2265
fat,砝,0.2261
fat,狒,0.2254
fat,芾,0.2246
fat,怫,0.2217
fat,窟,0.2211
fat,琺,0.2202
fat,欻,0.2187
fat,茀,0.2186
fat,歘,0.2163
fat,沷,0.2162
fat,艴,0.2161
fat,巿,0.2143
fat,彿,0.2135
fat,胐,0.2123
fat,筏,0.2119
fat,柭,0.2108
fat,髴,0.2105
fat,堀,0.21
fat,茷,0.2098
fat,惚,0.2093
fat,笏,0.2082
fat,芴,0.2057
fat,垡,0.2056
fat,鍃,0.2049
fat,紱,0.2042
fat,唿,0.2026
fat,刜,0.2024
fat,乀,0.2018
fat,紼,0.2013
fat,笩,0.2013
fat,祓,0.2006
fat,黻,0.2
fat,綍,0.1986
fat,仏,0.1984
fat,囫,0.1982
fat,橃,0.1962
fat,寣,0.196
fat,矻,0.1956
fat,圣,0.1947
fat,窋,0.1935
fat,坲,0.1921
fat,袚,0.1916
fat,匢,0.1906
fat,甶,0.1906
fat,鮄,0.1903
fat,魆,0.19
fat,咈,0.1895
fat,搰,0.1889
fat,淴,0.1887
fat,疺,0.1884
fat,罸,0.1881
fat,冹,0.1877
fat,傠,0.1871
fat,藅,0.1864
fat,曶,0.1862
fat,韍,0.186
fat,岪,0.1848
fat,栰,0.1841
fat,啒,0.1833
fat,笰,0.183
fat,匫,0.1827
fat,昒,0.1826
fat,帗,0.1809
fat,姂,0.1795
fat,瞂,0.1778
fat,崫,0.1775
fat,柫,0.1758
fat,泏,0.1752
fat,炥,0.1739
fat,鉘,0.1729
fat,翇,0.1707
fat,烼,0.1703
fat,㧾,0.0225
fatbou,佛寶,0.4617
fatcaau,罰抄,0.4604
fatcan,拂塵,0.464
fatcin,罰錢,0.462
fatdaan,佛誕,0.4599
fatdin,佛典,0.463
fatfaat,佛法,0.4841
fatfat,忽忽,0.4821
fatfat,狒狒,0.4729
fatfat,魆魆,0.4387
fatfun,罰款,0.5169
fatfung,罰俸,0.4545
fatgaau,佛教,0.5054
fatging,佛經,0.4763
fatgwat,佛骨,0.4609
fathai,佛系,0.4925
fathai,祓禊,0.4532
fatham,佛龕,0.4636
fathiu,拂曉,0.4658
fathok,佛學,0.4756
fathou,佛號,0.4653
fatje,佛爺,0.4662
fatji,忽而,0.4718
fatjin,忽然,0.5266
fatjyu,佛語,0.4633
fatkau,罰球,0.4934
fatleon,囫圇,0.4648
fatlik,乏力,0.4933
fatlik,佛曆,0.4562
fatloek,忽略,0.5321
fatlung,窟窿,0.475
fatmei,乏味,0.4878
fatmuk,伐木,0.4705
fatmun,閥門,0.4864
fatmun,佛門,0.4744
fatoi,弗愛,0.4431
fatping,佛坪,0.4633
fatsaan,佛山,0.5003
fatsaau,唿哨,0.4572
fatsam,閥芯,0.4649
fatsek,氟石,0.4549
fatsi,忽視,0.5204
fatsim,忽閃,0.4656
fatsing,佛性,0.4661
fatsou,拂掃,0.449
fatsyu,佛書,0.4598
fatto,佛陀,0.4777
fattong,佛堂,0.4658
fatzak,罰則,0.4626
fatzi,佛寺,0.4686
fatzi,筏子,0.4626
fatzoeng,佛像,0.4784
fatzou,佛祖,0.4805
fau,不,0.4453
fau,步,0.2891
fau,否,0.2748
fau,覆,0.2656
fau,浮,0.2431
fau,復,0.2417
fau,痞,0.2305
fau,埠,0.2237
fau,紑,0.2225
fau,阜,0.2224
fau,剖,0.2224
fau,埗,0.2197
fau,枹,0.2195
fau,踣,0.2177
fau,罘,0.212
fau,芣,0.2119
fau,殕,0.2113
fau,缶,0.2107
fau,鴀,0.2084
fau,涪,0.2067
fau,桴,0.2021
fau,掊,0.2
fau,裒,0.1988
fau,妚,0.1979
fau,蜉,0.1963
fau,姇,0.1923
fau,琈,0.1917
fau,緮,0.189
fau,衃,0.1884
fau,缻,0.1863
fau,峊,0.185
fau,缹,0.1846
fau,剻,0.1819
fau,烰,0.1819
fau,鉜,0.1804
fau,哹,0.1799
fau,蛗,0.1763
fau,艀,0.1746
fau,雬,0.1721
fau,罦,0.0225
faubaak,剖白,0.4626
faubiu,浮標,0.4643
faucam,浮沉,0.4681
faucim,浮潛,0.463
faucin,浮淺,0.462
faucoi,浮財,0.4555
faucou,浮躁,0.5064
faucou,浮燥,0.4623
fauding,否定,0.5355
faudiu,浮雕,0.4762
faudung,浮動,0.507
faufaan,浮泛,0.4586
faufuk,剖腹,0.4731
faugaai,剖解,0.4572
faugoi,覆蓋,0.5484
fauhak,復刻,0.502
fauhei,浮氣,0.4535
faujin,浮現,0.4908
faujing,否認,0.5211
faukoi,覆蓋,0.5484
faukwaa,浮誇,0.4942
faukyut,否決,0.4825
faulaam,浮濫,0.4511
faulei,浮利,0.4553
faulik,浮力,0.4661
faumin,剖面,0.4727
faumin,浮面,0.4587
faunaam,阜南,0.4657
faunai,浮泥,0.453
faupei,浮皮,0.4562
fauping,浮萍,0.4715
faupiu,浮漂,0.4641
fausang,浮生,0.4737
fausek,浮石,0.4629
fauseoi,浮水,0.4623
fausi,浮屍,0.4622
fausi,剖視,0.4553
fausik,剖析,0.5052
fausyun,浮選,0.4671
fautau,埠頭,0.4618
fautou,浮圖,0.462
fautou,浮土,0.4599
fauwaat,浮滑,0.4555
fauwan,浮雲,0.4838
fauzak,否則,0.5677
fauzat,浮質,0.4486
fe,啡,0.213
fei,非,0.319
fei,飛,0.3063
fei,菲,0.2686
fei,肥,0.2662
fei,妃,0.2392
fei,緋,0.2345
fei,痱,0.2284
fei,翡,0.228
fei,匪,0.228
fei,啡,0.2265
fei,斐,0.2257
fei,狒,0.2254
fei,婓,0.2193
fei,蜚,0.2182
fei,萉,0.2174
fei,霏,0.2165
fei,曊,0.2147
fei,扉,0.213
fei,蜰,0.2111
fei,腓,0.2092
fei,誹,0.2082
fei,淝,0.2063
fei,榧,0.2056
fei,蟦,0.2055
fei,蕜,0.2039
fei,悱,0.2027
fei,膹,0.2019
fei,飝,0.2013
fei,鯡,0.1996
fei,篚,0.1969
fei,奜,0.1962
fei,騑,0.1958
fei,棐,0.1948
fei,餥,0.1947
fei,婔,0.194
fei,馡,0.1927
fei,騛,0.1924
fei,朏,0.1922
fei,厞,0.1913
fei,渄,0.1885
fei,剕,0.1872
fei,暃,0.1869
fei,陫,0.1838
fei,裶,0.1831
fei,猆,0.1808
fei,疿,0.1786
fei,靟,0.1763
fei,屝,0.0748
fei,䠊,0.0225
feiban,飛奔,0.4801
feiban,妃嬪,0.4635
feibiu,飛鏢,0.4673
feibok,菲薄,0.465
feibong,誹謗,0.4831
feibun,肥胖,0.5096
feicak,悱惻,0.4654
feican,飛塵,0.4607
feice,飛車,0.4834
feiceoi,翡翠,0.4898
feici,飛馳,0.4759
feicoeng,飛翔,0.4977
feicoeng,肥腸,0.4692
feidaan,非但,0.4797
feidaan,飛彈,0.4708
feidai,飛抵,0.471
feidei,飛地,0.4631
feidei,肥地,0.4589
feidik,飛的,0.483
feidip,飛碟,0.4785
feifaai,飛快,0.4887
feifaan,非凡,0.4916
feifaat,非法,0.5159
feifan,非份,0.4608
feigei,飛機,0.5505
feihaau,肥效,0.4621
feihang,飛行,0.5225
feihei,飛起,0.486
feihung,緋紅,0.4723
feiji,非議,0.4791
feijim,飛檐,0.4662
feijin,斐然,0.4662
feijoek,飛躍,0.4912
feijoeng,飛揚,0.4938
feijoeng,肥羊,0.4681
feijuk,肥沃,0.4745
feijung,菲傭,0.463
feijyu,飛魚,0.4743
feijyu,蜚語,0.4665
feijyut,飛越,0.4766
feijyut,匪穴,0.4535
feilai,非禮,0.4763
feilam,菲林,0.468
feilik,肥力,0.4648
feilim,蜚蠊,0.4564
feiliu,肥料,0.4823
feiman,緋聞,0.4922
feiman,飛吻,0.465
feimei,肥美,0.4647
feiming,非命,0.4645
feimou,飛舞,0.4856
feimun,肥滿,0.4564
feimut,飛沫,0.4632
feinei,肥膩,0.4618
feingai,飛蟻,0.4574
feingau,肥牛,0.4517
feingo,飛蛾,0.4725
feipun,飛盤,0.4646
feisai,飛逝,0.4721
feisan,飛身,0.4739
feisat,肥實,0.4523
feisek,肥碩,0.4638
feisek,飛石,0.4633
feiseoi,肥水,0.4698
feisin,肥鮮,0.449
feising,飛昇,0.4776
feising,蜚聲,0.4653
feisoeng,非常,0.6059
feisyu,飛鼠,0.4618
feiteng,飛艇,0.4747
feitou,匪徒,0.4736
feitou,肥土,0.4574
feiwaa,扉畫,0.4447
feiwong,飛蝗,0.4621
feizai,斐濟,0.4655
feizau,非洲,0.5292
feizi,妃子,0.4745
feizin,飛濺,0.4725
feizing,飛征,0.439
feizoeng,飛漲,0.475
feizong,肥壯,0.4632
feizou,肥皂,0.4813
feizyun,飛轉,0.4623
fik,弗,0.2347
fing,揈,0.205
fing,捹,0.1768
fiu,覅,0.1947
fo,課,0.2952
fo,貨,0.2944
fo,火,0.2933
fo,科,0.286
fo,顆,0.2616
fo,棵,0.254
fo,敤,0.2246
fo,伙,0.2189
fo,夥,0.2162
fo,稞,0.214
fo,鈥,0.2134
fo,髁,0.2104
fo,窠,0.2075
fo,匚,0.206
fo,錁,0.2043
fo,吙,0.2025
fo,蝌,0.2009
fo,萪,0.194
fo,騍,0.194
fo,薖,0.1921
fo,嵙,0.187
fo,邩,0.1848
fo,犐,0.184
fo,堁,0.1839
fo,嗀,0.1824
fo,沎,0.1751
fobaa,火把,0.4745
fobaau,火爆,0.5171
fobai,貨幣,0.5528
foban,貨品,0.4831
fobing,火併,0.464
fobiu,課表,0.473
fobou,火暴,0.4747
fobun,課本,0.5313
fobun,伙伴,0.5252
fobun,夥伴,0.5252
fobun,火伴,0.4532
focaai,火柴,0.4827
foce,火車,0.5244
foce,貨車,0.489
focing,課程,0.5872
focoek,課桌,0.4743
focoeng,火槍,0.4743
focoeng,火場,0.466
focoeng,火牆,0.464
focong,貨倉,0.4633
focuk,火速,0.4763
focyu,火柱,0.4622
fodaai,科大,0.504
fodai,貨底,0.4489
fodau,蝌蚪,0.4737
fofaa,火花,0.4962
fofaa,火化,0.476
fofu,伙夫,0.4602
fogaan,課間,0.4762
fogai,火雞,0.4738
fogap,火急,0.4662
fogei,科技,0.5646
fogei,夥計,0.4818
fogei,伙計,0.4667
fogeoi,火炬,0.494
fogeoi,科舉,0.4812
foging,火警,0.4657
fogun,火罐,0.4647
fogwai,貨櫃,0.4723
fogwong,火光,0.4768
fohaang,火坑,0.465
fohau,課後,0.4987
fohau,火候,0.4894
fohei,火氣,0.4805
fohim,火險,0.4642
fohoi,火海,0.4724
fohok,科學,0.5691
fohok,火鶴,0.4607
fohong,火炕,0.4629
fojau,火油,0.4609
fojim,火焰,0.5093
fojin,科研,0.5556
fojit,火熱,0.5019
fojiu,火窯,0.4502
fojoek,火藥,0.4914
fojyu,課餘,0.4743
fok,霍,0.244
fok,瞿,0.2358
fok,縛,0.2325
fok,豁,0.2308
fok,廓,0.2281
fok,蠼,0.2185
fok,攫,0.2069
fok,漷,0.2051
fok,矍,0.2046
fok,藿,0.2044
fok,钁,0.1967
fok,攉,0.195
fok,彉,0.1927
fok,靃,0.1902
fok,臛,0.1901
fok,矆,0.1875
fok,玃,0.1872
fok,曤,0.1854
fok,矡,0.1833
fok,躩,0.1814
fok,癨,0.181
fok,矐,0.181
fok,靍,0.1797
fok,爴,0.1793
fok,欔,0.1791
fok,貜,0.1777
fok,瀖,0.1771
fok,彏,0.1767
fok,戄,0.174
fokim,火鉗,0.4587
foklyun,霍亂,0.4709
foksoek,矍鑠,0.4629
folai,火犁,0.4457
foleon,貨輪,0.4669
folik,火力,0.5083
folim,火鐮,0.4566
folou,火爐,0.4754
foman,課文,0.5098
fomat,貨物,0.5153
fomuk,科目,0.5527
fonap,顆粒,0.5187
fong,放,0.3449
fong,房,0.3159
fong,方,0.3094
fong,防,0.2788
fong,兄,0.2786
fong,坊,0.2651
fong,芳,0.2625
fong,慌,0.2536
fong,晃,0.2487
fong,訪,0.2457
fong,芒,0.2437
fong,仿,0.241
fong,彷,0.2403
fong,荒,0.2352
fong,謊,0.2328
fong,匚,0.2285
fong,況,0.2282
fong,紡,0.2238
fong,妨,0.2194
fong,恍,0.2163
fong,幌,0.2129
fong,昞,0.2128
fong,舫,0.2122
fong,肪,0.2096
fong,枋,0.2094
fong,魴,0.2089
fong,况,0.2079
fong,肓,0.2078
fong,昉,0.2065
fong,鈁,0.204
fong,詤,0.2023
fong,汸,0.2018
fong,邡,0.1996
fong,愰,0.1995
fong,滉,0.1995
fong,淓,0.1978
fong,貺,0.1978
fong,皝,0.1976
fong,昘,0.1975
fong,晄,0.1961
fong,巟,0.1959
fong,埅,0.1952
fong,熀,0.1951
fong,怳,0.1943
fong,牥,0.1937
fong,旊,0.1932
fong,錺,0.1923
fong,櫎,0.192
fong,瓬,0.1913
fong,髣,0.1908
fong,塃,0.1901
fong,鰟,0.1893
fong,鴋,0.1889
fong,軦,0.1883
fong,趽,0.188
fong,榥,0.1876
fong,眆,0.1874
fong,岲,0.1874
fong,鶭,0.1854
fong,蚄,0.1849
fong,炾,0.1841
fong,朚,0.1834
fong,眖,0.1815
fong,熿,0.1814
fong,衁,0.1799
fong,兤,0.1798
fong,皩,0.1786
fong,宺,0.1772
fong,鎤,0.1763
fong,倣,0.1533
fongbai,防弊,0.4552
fongbei,防備,0.4829
fongbin,方便,0.5687
fongbong,放榜,0.464
fongbou,防暴,0.467
fongcaa,訪查,0.4583
fongcaak,方冊,0.4522
fongce,況且,0.53
fongce,房車,0.4751
fongce,紡車,0.4614
fongcek,方尺,0.4602
fongceoi,紡錘,0.4632
fongci,放矢,0.4666
fongcing,放晴,0.467
fongcoi,方纔,0.4821
fongcong,房艙,0.4494
fongcou,荒草,0.4658
fongdaai,放大,0.54
fongdaam,放膽,0.4634
fongdaan,荒誕,0.5047
fongdaan,防彈,0.468
fongdaan,放誕,0.4558
fongdai,放低,0.4725
fongdak,慌得,0.4613
fongdak,防特,0.4478
fongdei,荒地,0.4723
fongdeng,方頂,0.4551
fongdin,放電,0.4896
fongding,紡錠,0.4506
fongdiu,放刁,0.4523
fongdong,放蕩,0.4764
fongdong,晃蕩,0.4591
fongdou,防盜,0.485
fongdou,荒島,0.467
fongdou,防堵,0.4619
fongduk,防毒,0.475
fongdung,房東,0.5178
fongdung,晃動,0.4916
fongdung,幌動,0.4503
fongfaai,方塊,0.5082
fongfaan,防範,0.5016
fongfaat,方法,0.5884
fongfai,荒廢,0.4798
fongfat,仿佛,0.5497
fongfat,彷彿,0.5497
fongfat,恍惚,0.4837
fongfo,防火,0.4878
fongfo,放火,0.4744
fongfong,慌慌,0.4663
fongfun,放寬,0.4861
fongfung,放風,0.4653
fonggaa,放假,0.5265
fonggaak,方格,0.474
fonggaan,房間,0.5493
fonggaan,坊間,0.4743
fonggeoi,防具,0.4516
fonggep,防夾,0.4652
fonggiu,慌叫,0.4425
fonggung,放工,0.4657
fonggwo,放過,0.5003
fonghaa,放下,0.5335
fonghaak,訪客,0.4909
fonghaak,房客,0.4754
fonghaau,仿效,0.4722
fonghang,放行,0.4791
fonghei,放棄,0.5666
fonghei,荒棄,0.4568
fonghoeng,方向,0.5904
fonghoeng,芳香,0.4932
fonghoi,放開,0.5098
fonghok,放學,0.4958
fonghon,荒寒,0.4576
fonghon,荒旱,0.4499
fonghung,放空,0.4838
fonghyut,放血,0.4658
fongjam,放任,0.4908
fongjam,荒淫,0.4658
fongje,荒野,0.4873
fongjik,防疫,0.4961
fongjim,房檐,0.4632
fongjin,方言,0.5322
fongjin,謊言,0.5094
fongjin,恍然,0.4762
fongjing,放映,0.4948
fongjing,方形,0.4887
fongjoeng,放養,0.4732
fongjyu,防禦,0.5271
fongjyu,恍如,0.4674
fongjyun,方圓,0.4824
fongjyun,訪員,0.4566
fongkai,房契,0.4596
fongkau,訪求,0.4574
fongkyun,放權,0.4648
fonglaap,方臘,0.4636
fongleon,紡輪,0.456
fongling,芳齡,0.4636
fongliu,枋寮,0.4509
fongloeng,荒涼,0.48
fonglyun,慌亂,0.4821
fonglyun,荒亂,0.4573
fongmaan,放慢,0.4811
fongman,訪問,0.5426
fongmau,荒謬,0.4886
fongmin,方面,0.5954
fongmo,房魔,0.4491
fongmong,慌忙,0.4775
fongmou,荒蕪,0.4799
fongmou,防務,0.474
fongmuk,放牧,0.4729
fongngai,防僞,0.4833
fongngai,方毅,0.4609
fongngau,放牛,0.4673
fongngoi,妨礙,0.4904
fongnin,荒年,0.4603
fongoi,課外,0.4899
fongon,方案,0.5691
fongpei,放屁,0.4921
fongpei,仿皮,0.4646
fongpik,荒僻,0.461
fongpun,放盤,0.4656
fongsaai,防曬,0.5083
fongsaan,荒山,0.4729
fongsaang,放生,0.478
fongsaau,放哨,0.464
fongsam,放心,0.5361
fongsam,芳心,0.4758
fongsan,慌神,0.4605
fongsan,恍神,0.4595
fongsang,仿生,0.467
fongsat,房室,0.465
fongsau,防守,0.5595
fongsau,放手,0.4934
fongse,放射,0.4799
fongse,仿寫,0.4586
fongseoi,防水,0.5208
fongseoi,放水,0.5074
fongseot,方術,0.4628
fongsi,放肆,0.4819
fongsi,房事,0.4738
fongsik,方式,0.605
fongsin,防線,0.5065
fongsung,放鬆,0.5456
fongsung,仿宋,0.4638
fongsyun,防損,0.4628
fongtaam,訪談,0.512
fongtoi,訪臺,0.4665
fongtong,荒唐,0.486
fongtong,方糖,0.464
fongtou,荒土,0.4566
fonguk,房屋,0.5205
fongwaa,謊話,0.4745
fongwaan,放還,0.4587
fongwai,方位,0.4898
fongwai,防衛,0.4809
fongwu,防護,0.5076
fongwun,放緩,0.4874
fongzaai,放債,0.4587
fongzai,仿製,0.4772
fongzai,方劑,0.4682
fongzam,方針,0.496
fongzan,防震,0.4747
fongzau,放走,0.4705
fongzi,房子,0.5604
fongzi,防止,0.5453
fongzi,放置,0.5189
fongzi,防治,0.5088
