# Jyutping (粵拼) dictionary — source rime-cantonese (CC-BY/ODbL) + essay freq
# Toneless codes; includes Cantonese colloquial vocabulary.
# Fields: jyutping, chinese, freq
jyutping,chinese,freq
aauhaam,拗陷,0.455
aauhau,拗口,0.4661
aautyun,拗斷,0.4559
aawaan,丫鬟,0.4767
aazau,亞洲,0.5382
aaze,阿姐,0.4708
ai,哎,0.3322
ai,矮,0.2434
ai,隘,0.2248
ai,翳,0.2095
ai,縊,0.2066
ai,阸,0.2059
ai,瘞,0.2025
ai,殪,0.1991
ai,曀,0.1956
ai,屓,0.1931
ai,幆,0.1926
ai,繄,0.1909
ai,鷖,0.1901
ai,嫕,0.1895
ai,豷,0.1881
ai,屭,0.186
ai,贀,0.1855
ai,殹,0.1835
ai,蘙,0.1821
ai,瞖,0.1817
ai,躷,0.1768
ai,瘱,0.171
ai,欸,0.1538
ai,医,0.1499
aifaa,矮化,0.4635
aigeng,縊頸,0.4419
aijaa,哎呀,0.514
aijo,哎唷,0.4583
aingaan,翳眼,0.4415
aisaat,縊殺,0.4531
aisei,縊死,0.4571
aisiu,矮小,0.475
ak,呃,0.2919
ak,喔,0.284
ak,厄,0.2733
ak,握,0.2581
ak,啞,0.2406
ak,扼,0.23
ak,幄,0.2252
ak,隘,0.2248
ak,阨,0.2168
ak,渥,0.2126
ak,苊,0.2081
ak,齷,0.2071
ak,阸,0.2059
ak,戹,0.2056
ak,鬲,0.2039
ak,偓,0.2029
ak,軶,0.2025
ak,楃,0.1982
ak,砨,0.1974
ak,枙,0.1947
ak,媉,0.1938
ak,殕,0.1888
ak,餩,0.186
ak,蚅,0.1853
ak,搤,0.1847
ak,腛,0.1844
ak,搹,0.1783
ak,呝,0.1779
ak,豟,0.1748
akjiu,扼要,0.4664
aksaat,扼殺,0.4832
aksau,握手,0.4906
aksau,扼守,0.4633
akwan,厄運,0.4835
am,暗,0.2649
am,陰,0.2605
am,闇,0.2373
am,黯,0.2319
am,諳,0.2264
am,菴,0.2252
am,奄,0.2209
am,垵,0.2187
am,晻,0.2167
am,厂,0.2142
am,广,0.2129
am,腤,0.2111
am,龕,0.2095
am,庵,0.2095
am,唵,0.2066
am,揜,0.2055
am,鵪,0.2015
am,匼,0.1975
am,盦,0.1964
am,黬,0.1948
am,揞,0.1917
am,盫,0.1891
am,萻,0.1883
am,罯,0.1883
am,隌,0.1882
am,痷,0.1881
am,蓭,0.1863
am,韽,0.1856
am,媕,0.1849
am,啽,0.1807
am,馣,0.1798
am,葊,0.1787
am,誝,0.1783
am,匎,0.1745
am,鶕,0.1736
am,䳺,0.0225
amam,暗暗,0.4889
amceon,鵪鶉,0.4719
amcoeng,暗娼,0.46
amcong,暗藏,0.4777
amcong,暗瘡,0.4718
amcyu,暗處,0.4733
amdaam,黯淡,0.4788
amdaam,暗淡,0.4787
amdei,暗地,0.4733
amdou,暗道,0.4672
amfaa,暗花,0.4641
amgaak,暗格,0.4616
amhak,暗黑,0.5078
amhap,暗合,0.4641
amhei,暗器,0.4737
amho,暗河,0.4633
amhoi,暗害,0.4608
amhou,暗號,0.474
amjin,黯然,0.4814
amjing,暗影,0.4874
amjyu,暗語,0.4657
amjyu,暗喻,0.4635
amkeoi,暗渠,0.4593
amlin,諳練,0.452
amlit,奄列,0.4541
amlyun,暗戀,0.4943
ampun,暗盤,0.4592
amsaat,暗殺,0.4949
amsi,暗示,0.5337
amsi,暗事,0.4553
amsin,暗線,0.4632
amsiu,暗笑,0.4657
amso,暗鎖,0.4572
amsoeng,暗箱,0.4655
amsoeng,暗傷,0.4633
amsyun,暗算,0.4738
amtaam,暗探,0.461
amtaan,暗灘,0.4503
amtong,庵堂,0.4607
amzat,暗疾,0.4578
amzeng,暗井,0.4507
amzi,暗自,0.4837
amzin,暗箭,0.4653
amziu,暗礁,0.4647
amzung,暗中,0.4859
amzyun,暗轉,0.4573
ang,哽,0.2239
ang,鶯,0.2215
ang,罌,0.2205
ang,罃,0.2112
ang,鞥,0.2107
ang,甇,0.1943
ang,褮,0.1906
ang,鸎,0.1868
ang,鴬,0.1798
ang,鷪,0.1782
ang,鶑,0.1742
angniu,鶯鳥,0.4493
ap,邑,0.2374
ap,洽,0.2365
ap,醃,0.232
ap,罯,0.2108
ap,罨,0.204
ap,匎,0.197
ap,搕,0.1874
ap,鰪,0.1726
at,扤,0.1856
au,區,0.3443
au,歐,0.2687
au,嘔,0.2393
au,漚,0.2329
au,毆,0.231
au,慪,0.2243
au,鷗,0.2198
au,甌,0.2117
au,鏂,0.2079
au,熰,0.2058
au,謳,0.2033
au,岰,0.2015
au,敺,0.1951
au,櫙,0.193
au,鴎,0.1872
au,膒,0.1839
au,藲,0.1838
au,塸,0.1813
au,蚼,0.1798
au,梎,0.1703
au,軪,0.1696
audaa,毆打,0.4926
audau,毆鬥,0.4619
auhei,慪氣,0.4638
auhei,嘔氣,0.46
auhyut,嘔血,0.4643
aujoeng,歐陽,0.4963
aujyun,歐元,0.5198
aumang,歐盟,0.5166
aumei,歐美,0.5416
aumou,歐姆,0.4669
ausam,嘔心,0.4669
autou,嘔吐,0.5045
auzau,歐洲,0.5661
baa,吧,0.4314
baa,把,0.3906
baa,爸,0.2726
baa,唄,0.2701
baa,巴,0.2696
baa,伯,0.2534
baa,罷,0.2484
baa,霸,0.2392
baa,壩,0.2371
baa,靶,0.2341
baa,耙,0.2295
baa,芭,0.2221
baa,疤,0.2219
baa,叭,0.216
baa,灞,0.2123
baa,鈀,0.2112
baa,粑,0.2101
baa,笆,0.2097
baa,岜,0.2076
baa,葩,0.2076
baa,峇,0.2023
baa,埧,0.2001
baa,覇,0.1999
baa,夿,0.1998
baa,䰾,0.1986
baa,弝,0.1952
baa,垻,0.1936
baa,蚆,0.1929
baa,跁,0.1902
baa,豝,0.1878
baa,羓,0.1873
baa,猈,0.1848
baa,矲,0.1848
baa,欛,0.1797
baaak,把握,0.5453
baabaa,爸爸,0.5527
baabai,巴閉,0.4625
baabeng,把柄,0.4749
baaci,把持,0.4768
baacik,罷斥,0.4507
baadou,霸道,0.4878
baafo,罷課,0.463
baafung,把風,0.4638
baagaau,罷教,0.452
baagit,巴結,0.4723
baagun,罷官,0.4629
baagung,罷工,0.4858
baagwaan,把關,0.4829
baahan,疤痕,0.4855
baahei,霸氣,0.502
baahei,把戲,0.4772
baai,唄,0.2926
baai,擺,0.2617
baai,拜,0.2579
baai,敗,0.2514
baai,掰,0.2397
baai,憊,0.2257
baai,擘,0.2173
baai,襬,0.2112
baai,湃,0.2086
baai,稗,0.2066
baai,贁,0.1991
baai,捭,0.1984
baai,拝,0.198
baai,粺,0.1971
baai,庍,0.1777
baaibaai,拜拜,0.5116
